monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
1133,34.57,69.1,75.4,22.4,21.5,228556.0,1860000.0,1.47,3.16,28,44,Secondary Incomplete,Cowpea,Never,Poor,1,0,0.76,True,519,Male,False,False,False,False,True,9
313,31.16,15.9,65.3,18.9,28.3,74154.0,964000.0,1.29,1.87,14,30,Secondary Incomplete,Cowpea,Weekly,Fair,6,0,0.0,False,589,Male,False,False,True,False,False,13
2613,41.93,31.2,48.8,22.0,26.5,69714.0,852000.0,1.26,1.13,37,60,Primary Incomplete,Sesame,Monthly,Very Good,6,68,0.0,True,680,Male,False,False,True,True,False,14
5778,32.52,49.3,30.5,32.1,36.5,164400.0,236000.0,15.18,0.13,9,25,HND/BSc,Cassava,Monthly,Very Good,5,0,0.0,True,698,Male,False,False,True,False,False,5
1011,27.5,25.0,54.3,30.5,8.9,31833.0,382000.0,2.6,0.42,34,50,Primary Complete,Rice,Never,Fair,1,0,0.73,False,578,Female,False,True,False,False,True,12
1028,33.58,26.8,11.4,23.1,27.1,343727.0,3544000.0,3.73,4.75,22,38,Secondary Incomplete,Maize,Weekly,Good,5,0,0.0,True,633,Male,False,False,True,False,False,11
1166,10.71,44.6,8.6,22.7,20.0,36800.0,184000.0,0.95,0.48,18,34,Primary Complete,Cowpea,Never,Poor,1,0,0.0,False,537,Male,False,False,False,False,False,5
1152,14.77,24.0,68.2,28.6,22.9,115714.0,1620000.0,0.84,1.29,1,16,Primary Complete,Cocoa,Never,Poor,1,67,0.0,False,503,Female,False,False,False,True,False,14
347,21.43,63.1,32.4,18.1,30.0,258167.0,2758000.0,9.56,1.03,1,57,Secondary Complete,Yam,Monthly,Good,5,0,0.0,True,652,Male,False,True,True,False,False,12
311,24.21,44.6,23.7,29.3,23.3,102714.0,1020000.0,2.15,2.37,7,36,Secondary Complete,Maize,Never,Good,1,0,0.0,True,651,Female,False,False,False,False,False,14
5086,22.24,5.7,86.5,19.4,26.1,40556.0,156000.0,1.33,0.29,14,30,Primary Complete,Beans,Weekly,Good,1,0,0.7,True,644,Male,False,False,True,False,True,9
1150,34.63,38.9,17.9,17.9,20.6,32286.0,452000.0,0.98,1.15,5,51,Secondary Complete,Cowpea,Never,Good,1,77,0.0,False,641,Female,False,False,False,True,False,14
522,37.96,26.1,136.3,8.0,16.6,50182.0,492000.0,1.39,1.86,3,19,No Formal Education,Guinea Corn,Never,Fair,1,87,0.0,True,585,Male,False,False,False,True,False,11
434,10.29,7.6,30.4,23.3,25.1,165692.0,1940000.0,11.75,0.59,1,17,Secondary Complete,Yam,Never,Very Good,1,62,0.0,True,689,Male,False,False,False,True,False,13
4219,29.99,33.9,146.2,25.9,28.0,99571.0,200000.0,1.55,0.32,7,23,Masters/PhD,Beans,Monthly,Very Good,2,0,0.0,True,673,Male,False,False,True,False,False,7
3779,38.95,58.3,68.3,24.0,36.4,633667.0,7604000.0,29.34,2.16,31,47,Secondary Complete,Cassava,Daily,Good,8,96,0.0,False,658,Male,False,False,True,True,False,12
2511,34.73,1.3,91.1,22.4,20.9,82000.0,795000.0,0.52,1.01,3,19,No Formal Education,Cocoa,Monthly,Fair,4,98,0.0,True,611,Female,False,False,True,True,False,11
799,16.6,3.3,71.6,7.3,22.5,174778.0,1433000.0,2.59,2.91,19,35,Primary Incomplete,Guinea Corn,Never,Fair,1,0,0.0,True,577,Male,False,False,False,False,False,9
1136,31.01,1.1,129.4,16.6,29.6,240500.0,686000.0,10.65,0.23,1,16,Secondary Complete,Yam,Never,Good,1,95,0.0,True,658,Male,True,False,False,True,False,4
959,42.46,24.3,75.6,21.3,23.8,16000.0,128000.0,0.84,0.38,25,41,No Formal Education,Cowpea,Never,Fair,1,87,0.0,False,596,Female,False,False,False,True,False,8
2773,30.37,36.9,117.1,21.8,25.9,114231.0,1344000.0,21.0,0.2,21,51,Primary Complete,Vegetables,Weekly,Good,7,0,0.0,True,630,Female,False,False,True,False,False,13
3697,12.82,52.0,32.4,28.6,34.4,5357000.0,5074000.0,14.43,2.93,6,22,Secondary Complete,Cassava,Rarely,Fair,1,0,0.0,True,588,Female,False,False,True,False,False,1
708,22.5,19.6,93.6,21.0,23.6,118778.0,750000.0,3.05,1.23,9,62,Secondary Complete,Maize,Never,Good,1,0,0.0,True,640,Male,False,False,False,False,False,9
541,9.69,45.8,75.4,23.6,36.2,834000.0,834000.0,11.47,0.26,5,29,Primary Complete,Yam,Rarely,Fair,5,95,0.0,False,600,Male,False,False,True,True,False,1
2875,43.32,15.2,22.5,29.5,27.0,82800.0,828000.0,3.73,1.11,28,53,Secondary Complete,Maize,Weekly,Excellent,8,98,0.0,False,716,Male,False,False,True,True,False,10
5316,16.37,10.1,149.1,17.8,25.9,60167.0,361000.0,12.93,0.1,32,59,Primary Incomplete,Yam,Weekly,Fair,2,0,0.0,False,570,Female,False,False,True,False,False,6
259,25.87,7.8,21.7,22.1,28.7,201143.0,893000.0,15.95,0.2,20,50,OND/NCE,Yam,Never,Excellent,1,91,0.0,True,748,Female,False,False,False,True,False,7
2560,19.08,17.1,84.5,19.2,29.7,1530143.0,10363000.0,11.9,3.11,20,55,Secondary Complete,Yam,Weekly,Excellent,2,0,0.86,True,701,Male,False,False,True,False,True,7
2795,32.17,21.4,34.0,28.7,27.3,22000.0,308000.0,2.75,0.56,6,22,Secondary Complete,Maize,Daily,Good,8,0,0.0,False,636,Male,False,False,True,False,False,14
1121,40.52,21.6,50.4,20.1,24.9,14250.0,108000.0,1.09,0.25,6,58,Primary Incomplete,Beans,Never,Poor,1,0,0.65,True,525,Female,False,False,False,False,True,12
3920,32.16,2.4,56.3,27.6,26.2,240000.0,480000.0,0.92,0.35,6,25,Secondary Incomplete,Cocoa,Weekly,Fair,6,0,0.0,False,586,Female,False,False,True,False,False,2
5934,34.62,27.7,92.7,24.5,32.2,80385.0,1045000.0,19.8,0.44,18,34,Secondary Complete,Cassava,Monthly,Very Good,9,0,0.0,False,664,Male,False,False,True,False,False,13
4401,10.93,24.1,110.1,29.8,9.2,134400.0,672000.0,3.83,0.5,1,17,Secondary Complete,Rice,Weekly,Fair,2,0,0.0,False,598,Male,False,False,True,False,False,5
897,24.98,40.4,38.0,20.1,21.1,19429.0,272000.0,1.15,0.59,24,40,Primary Complete,Cowpea,Daily,Fair,6,0,0.72,False,575,Female,False,False,True,False,True,14
239,22.1,35.3,65.9,26.7,11.7,198250.0,690000.0,1.88,1.05,1,16,Primary Complete,Rice,Never,Poor,1,0,0.0,True,521,Male,False,False,False,False,False,4
137,9.16,30.4,69.8,29.8,22.7,81308.0,662000.0,2.21,1.5,5,24,Secondary Complete,Maize,Never,Fair,1,0,0.6,True,604,Male,False,False,False,False,True,13
1131,15.01,19.9,21.2,24.1,11.0,9286.0,130000.0,3.67,0.1,5,50,Masters/PhD,Rice,Never,Good,1,0,0.83,False,645,Male,False,False,False,False,True,14
216,31.42,53.9,46.4,29.9,22.4,241667.0,2175000.0,21.76,0.4,1,17,No Formal Education,Tomato,Never,Poor,1,0,0.0,False,507,Male,False,False,False,False,False,9
5673,30.51,68.3,2.6,25.4,20.4,711500.0,5692000.0,2.79,3.71,18,34,Primary Incomplete,Cotton,Rarely,Good,8,76,0.67,False,639,Male,False,False,True,True,True,8
260,41.47,4.1,76.1,22.7,28.4,167500.0,670000.0,6.71,0.2,10,36,Secondary Complete,Oil Palm,Never,Fair,1,0,0.0,False,569,Male,False,False,False,False,False,4
131,36.06,33.2,24.1,21.7,20.7,295333.0,2565000.0,14.58,0.8,7,23,Primary Complete,Plantain,Never,Poor,1,0,0.0,True,514,Male,False,False,False,False,False,9
2202,33.0,66.8,5.2,24.3,22.8,189143.0,2470000.0,2.35,1.91,22,43,Primary Complete,Cotton,Rarely,Very Good,10,71,0.0,True,675,Male,False,False,True,True,False,14
1420,5.27,36.1,118.8,29.2,23.4,24833.0,298000.0,3.32,0.45,14,30,Primary Incomplete,Maize,Weekly,Fair,4,0,0.0,False,608,Female,False,True,True,False,False,12
4273,5.13,17.7,43.1,20.7,23.0,35615.0,124000.0,1.01,0.31,35,51,Secondary Complete,Beans,Weekly,Excellent,8,0,0.92,True,830,Male,False,False,True,False,True,13
822,17.34,58.8,65.4,17.3,29.4,57889.0,521000.0,10.33,0.18,1,17,Primary Complete,Yam,Never,Poor,1,70,0.0,False,531,Male,False,False,False,True,False,9
970,39.48,33.3,50.8,24.8,27.9,58000.0,148000.0,1.84,0.4,1,16,No Formal Education,Maize,Never,Poor,1,96,0.0,True,519,Male,False,False,False,True,False,4
4907,21.13,5.9,27.8,5.9,16.7,74000.0,222000.0,1.91,0.61,29,50,Primary Complete,Sorghum,Weekly,Fair,8,0,0.0,False,567,Male,False,False,True,False,False,3
738,25.78,41.8,7.6,17.7,21.0,169571.0,1056000.0,1.09,2.42,8,24,Primary Complete,Beans,Never,Good,1,89,0.0,True,622,Male,False,False,False,True,False,7
2948,18.21,17.2,65.1,23.5,28.4,96571.0,676000.0,2.46,0.5,43,62,Primary Complete,Cotton,Rarely,Fair,7,0,0.0,False,577,Male,False,False,True,False,False,7
2372,42.33,43.1,109.9,25.1,20.0,169143.0,2368000.0,1.26,4.7,36,61,Primary Complete,Cowpea,Never,Fair,1,61,0.0,False,598,Male,False,False,True,True,False,14
1048,34.16,44.1,3.0,26.4,24.6,294462.0,3828000.0,1.46,4.77,11,28,Secondary Incomplete,Cotton,Never,Fair,1,97,0.0,False,594,Male,False,False,False,True,False,13
2664,15.58,13.5,14.8,29.0,29.3,251071.0,3244000.0,19.73,1.37,25,59,Secondary Complete,Cassava,Rarely,Very Good,2,100,0.0,True,685,Male,False,False,True,True,False,14
1173,32.14,4.2,9.9,23.5,24.0,162500.0,650000.0,5.64,0.23,1,16,Primary Complete,Oil Palm,Never,Poor,1,0,0.0,False,533,Male,False,False,False,False,False,4
5285,35.52,3.6,30.9,17.2,28.7,96833.0,521000.0,8.1,0.23,11,27,No Formal Education,Yam,Weekly,Very Good,1,72,0.0,True,687,Male,False,False,True,True,False,6
5134,29.15,48.2,45.3,28.2,24.4,31000.0,124000.0,1.83,0.34,1,22,No Formal Education,Maize,Rarely,Poor,1,98,0.48,False,489,Male,False,False,True,True,True,4
262,6.53,38.0,121.1,17.7,36.4,109692.0,1341000.0,11.97,0.4,11,27,No Formal Education,Yam,Never,Poor,1,0,0.0,True,521,Male,True,False,False,False,False,13
3495,34.13,31.9,75.4,22.6,23.2,29615.0,220000.0,1.07,0.51,27,48,Primary Complete,Cowpea,Weekly,Excellent,8,80,0.0,True,703,Male,False,False,True,True,False,13
3981,35.05,7.3,91.2,17.5,25.2,192000.0,960000.0,11.08,0.31,8,63,No Formal Education,Yam,Rarely,Poor,9,0,0.6,False,486,Male,False,False,True,False,True,5
426,17.91,28.7,82.8,27.8,29.6,737900.0,7379000.0,15.07,1.53,1,17,No Formal Education,Vegetables,Never,Poor,1,0,0.0,False,512,Male,False,False,False,False,False,10
777,33.88,2.3,133.2,27.2,25.7,1088900.0,10762000.0,21.02,1.6,26,54,Primary Complete,Vegetables,Never,Good,1,78,0.0,True,625,Male,False,False,False,True,False,10
1279,28.49,66.7,51.2,20.3,25.8,358333.0,820000.0,9.77,0.3,9,25,Secondary Incomplete,Yam,Monthly,Excellent,4,66,0.0,True,708,Male,False,False,True,True,False,3
328,23.57,19.3,98.4,25.6,38.1,268000.0,1340000.0,13.46,0.83,18,57,No Formal Education,Cassava,Never,Poor,1,0,0.0,False,501,Female,False,False,False,False,False,5
421,36.15,33.3,129.9,26.4,39.5,272600.0,1276000.0,16.87,0.63,33,59,Primary Incomplete,Cassava,Never,Fair,1,76,0.0,True,602,Male,False,False,False,True,False,5
868,39.26,8.2,14.3,27.8,23.2,57714.0,404000.0,4.12,0.49,13,42,Secondary Complete,Maize,Never,Fair,1,78,0.69,False,602,Male,False,False,False,True,True,7
562,19.49,37.5,80.1,8.2,19.8,157545.0,1733000.0,2.74,3.33,9,36,Secondary Complete,Sorghum,Monthly,Fair,2,0,0.0,False,618,Male,False,False,True,False,False,11
1988,5.75,46.2,38.2,22.3,29.2,33214.0,465000.0,3.86,0.24,5,43,Primary Complete,Oil Palm,Rarely,Poor,3,74,0.0,False,544,Female,False,False,True,True,False,14
233,34.99,61.4,12.2,20.5,27.3,204333.0,218000.0,4.2,0.26,13,44,Secondary Complete,Maize,Never,Good,1,0,0.79,True,627,Female,False,False,False,False,True,3
1595,24.9,37.8,14.3,25.9,35.6,145714.0,1020000.0,14.65,0.58,3,19,No Formal Education,Cassava,Monthly,Fair,2,0,0.0,False,568,Male,False,False,True,False,False,7
1471,31.73,32.0,27.0,7.0,17.8,101833.0,274000.0,2.66,0.54,10,47,Secondary Complete,Sorghum,Weekly,Very Good,1,0,0.0,True,697,Male,False,False,True,False,False,6
5873,10.67,66.4,51.5,8.1,18.8,16231.0,211000.0,2.7,0.41,9,64,No Formal Education,Guinea Corn,Weekly,Very Poor,9,0,0.4,False,439,Male,False,False,True,False,True,13
5297,9.94,53.2,23.2,22.9,22.7,296667.0,728000.0,0.82,2.22,13,29,Primary Complete,Cowpea,Weekly,Very Good,1,91,0.0,True,661,Female,False,False,True,True,False,3
2254,31.63,32.5,130.9,28.1,26.3,108000.0,756000.0,2.64,1.43,27,43,Primary Complete,Maize,Weekly,Fair,7,0,0.0,False,570,Male,False,False,True,False,False,7
307,13.38,14.5,129.8,24.4,22.7,143000.0,572000.0,3.81,0.75,11,27,OND/NCE,Maize,Never,Very Poor,1,0,0.51,False,478,Male,False,False,False,False,True,4
548,9.15,34.1,44.5,21.9,21.0,34800.0,174000.0,2.36,0.37,5,60,Primary Incomplete,Maize,Never,Poor,1,0,0.0,False,536,Male,False,False,False,False,False,5
4879,37.29,51.1,71.6,8.2,22.7,390500.0,2343000.0,2.27,5.43,5,39,Primary Incomplete,Sorghum,Monthly,Poor,6,0,0.62,False,540,Female,False,False,True,False,True,6
2434,34.15,47.9,10.5,5.6,17.7,27429.0,384000.0,1.45,1.39,5,53,No Formal Education,Sorghum,Daily,Fair,8,0,0.0,False,608,Male,False,False,True,False,False,14
790,6.21,25.9,24.7,26.4,42.0,703417.0,8072000.0,23.77,2.83,14,39,OND/NCE,Cassava,Never,Excellent,1,75,0.0,True,711,Female,False,False,False,True,False,12
4979,21.17,61.2,113.4,30.3,9.7,291500.0,1166000.0,1.44,1.8,37,61,Primary Complete,Groundnut,Rarely,Poor,1,0,0.0,False,551,Female,False,False,True,False,False,4
488,29.87,5.4,26.0,20.7,24.4,246667.0,1480000.0,1.86,3.98,1,52,No Formal Education,Maize,Never,Poor,1,0,0.78,False,531,Male,False,False,False,False,True,6
215,22.68,14.0,66.1,5.8,17.1,105600.0,528000.0,2.46,1.13,12,28,Primary Complete,Sorghum,Never,Fair,1,100,0.0,False,611,Female,False,False,False,True,False,5
1554,27.55,10.5,46.5,28.5,8.6,165273.0,1818000.0,1.65,2.45,11,36,Secondary Incomplete,Groundnut,Rarely,Fair,3,79,0.0,False,619,Male,False,False,True,True,False,11
890,9.35,56.2,15.9,27.6,23.9,241000.0,1086000.0,2.29,2.37,14,40,Primary Incomplete,Maize,Never,Fair,1,0,0.0,True,594,Male,False,False,False,False,False,5
400,16.59,53.8,92.1,7.2,18.6,141250.0,374000.0,2.86,0.69,4,56,Secondary Incomplete,Sorghum,Never,Poor,1,0,0.75,True,535,Female,False,False,False,False,True,4
5679,44.67,26.9,15.0,28.0,28.5,47667.0,360000.0,0.97,0.25,23,39,No Formal Education,Cocoa,Never,Fair,1,90,0.0,True,608,Male,False,False,True,True,False,9
331,39.81,49.7,79.3,7.6,19.7,55000.0,220000.0,2.89,0.4,8,34,Secondary Complete,Sorghum,Never,Fair,1,72,0.0,False,563,Male,False,False,True,True,False,4
124,34.42,22.7,36.5,27.9,36.7,1097750.0,4324000.0,19.58,1.84,21,50,No Formal Education,Cassava,Never,Poor,1,0,0.0,True,547,Male,False,False,False,False,False,4
1098,13.68,42.7,15.0,21.9,28.4,378400.0,1660000.0,1.41,2.94,2,41,Secondary Complete,Cowpea,Never,Good,1,0,0.0,True,636,Male,False,False,False,False,False,5
1515,28.09,19.7,15.2,18.0,32.7,158400.0,792000.0,14.13,0.2,18,34,Primary Incomplete,Yam,Daily,Fair,2,0,0.0,False,577,Male,False,False,True,False,False,5
4013,10.76,38.7,63.3,25.0,19.5,78125.0,280000.0,1.49,0.47,9,25,OND/NCE,Beans,Monthly,Excellent,1,84,0.0,True,701,Female,False,False,True,True,False,8
1550,32.78,3.0,42.1,8.1,19.1,202250.0,676000.0,2.72,1.31,7,48,Secondary Incomplete,Guinea Corn,Rarely,Good,9,97,0.0,True,657,Male,False,False,True,True,False,4
1782,13.01,42.0,79.7,21.1,19.2,240750.0,2836000.0,3.03,4.68,21,39,No Formal Education,Maize,Weekly,Fair,8,0,0.48,True,564,Male,False,False,True,False,True,12
604,40.21,49.8,110.6,21.4,36.7,514875.0,4119000.0,11.86,1.24,24,40,OND/NCE,Yam,Weekly,Very Good,10,0,0.82,False,692,Male,False,False,True,False,True,8
1055,21.28,68.8,15.4,30.8,10.3,69571.0,735000.0,2.76,0.76,6,43,Secondary Incomplete,Rice,Never,Good,1,0,0.0,True,629,Male,False,False,False,False,False,14
1133,26.94,21.5,39.3,5.6,17.4,85727.0,830000.0,2.8,1.56,7,41,Primary Complete,Sorghum,Never,Good,1,85,0.82,True,632,Male,False,False,False,True,True,11
1031,32.54,31.9,95.9,7.3,20.3,12667.0,114000.0,2.01,0.3,38,54,Primary Incomplete,Sorghum,Never,Very Poor,1,0,0.43,False,450,Male,False,False,False,False,True,9
3822,17.09,5.0,46.8,32.7,41.9,117143.0,682000.0,22.72,0.25,7,23,Primary Complete,Cassava,Rarely,Good,2,0,0.0,True,651,Male,False,False,True,False,False,7
1144,17.13,58.9,60.6,16.5,30.2,210615.0,2738000.0,11.37,0.86,8,39,Primary Complete,Yam,Never,Fair,1,86,0.0,False,562,Male,False,False,False,True,False,13
381,19.78,43.3,18.8,28.7,25.9,547500.0,3285000.0,0.96,2.28,33,58,Primary Incomplete,Cocoa,Never,Very Poor,1,0,0.53,False,408,Male,False,False,False,False,True,6
1498,28.27,69.4,58.8,19.4,19.7,125143.0,876000.0,0.92,2.38,19,35,Primary Incomplete,Cowpea,Monthly,Good,7,0,0.0,False,657,Male,False,False,True,False,False,7
3439,5.39,42.9,134.9,22.4,38.5,127000.0,508000.0,21.13,0.2,4,46,Primary Incomplete,Cassava,Rarely,Good,10,89,0.0,False,627,Male,False,False,True,True,False,4
5218,24.96,1.9,44.2,20.7,21.8,84857.0,1112000.0,1.16,2.4,25,44,No Formal Education,Cowpea,Weekly,Very Good,2,84,0.0,True,693,Male,False,False,True,True,False,14
257,11.67,39.0,37.5,21.9,27.9,47833.0,287000.0,1.95,0.21,11,28,HND/BSc,Rubber,Never,Fair,1,0,0.0,False,584,Female,False,False,False,False,False,6
441,26.16,8.5,90.5,16.2,30.8,356500.0,2139000.0,11.24,0.68,8,24,Primary Complete,Yam,Never,Fair,1,0,0.0,False,598,Male,False,False,False,False,False,6
4900,40.48,24.6,33.3,23.1,34.2,364167.0,2078000.0,10.76,0.69,26,57,Primary Incomplete,Yam,Monthly,Good,1,0,0.0,True,636,Female,False,False,True,False,False,6
5810,12.78,38.6,90.2,6.0,20.4,224800.0,995000.0,2.78,1.99,29,51,Primary Complete,Millet,Never,Excellent,1,95,0.0,True,706,Male,True,False,True,True,False,5
992,23.57,8.7,24.3,7.2,18.3,42111.0,270000.0,2.95,0.48,33,54,No Formal Education,Guinea Corn,Never,Good,1,83,0.0,True,646,Female,False,False,False,True,False,9
4609,31.64,7.2,94.9,29.8,38.8,80357.0,1022000.0,16.7,0.51,24,40,No Formal Education,Cassava,Weekly,Good,10,0,0.0,True,620,Female,False,False,True,False,False,14
616,22.41,31.7,81.8,29.8,42.6,49333.0,296000.0,24.74,0.1,10,31,Secondary Complete,Cassava,Never,Fair,1,0,0.0,False,595,Female,False,False,False,False,False,6
622,18.49,44.1,120.9,29.1,26.1,113250.0,705000.0,5.03,0.28,9,26,Primary Complete,Oil Palm,Rarely,Fair,8,0,0.72,True,580,Female,False,False,True,False,True,8
1114,24.87,25.6,76.7,29.6,29.9,42000.0,247000.0,20.63,0.1,25,41,Primary Complete,Cassava,Monthly,Excellent,5,70,0.92,True,797,Male,False,False,True,True,True,10
4260,10.83,3.0,36.3,7.5,18.0,25727.0,283000.0,2.53,0.59,7,23,Secondary Complete,Sorghum,Monthly,Very Good,8,62,0.0,False,673,Male,False,False,True,True,False,11
486,16.74,13.2,22.0,20.0,27.3,61000.0,732000.0,1.11,1.65,8,36,No Formal Education,Cowpea,Weekly,Good,9,67,0.0,False,638,Female,False,False,True,True,False,12
1337,6.7,59.0,49.8,23.0,22.9,268571.0,1880000.0,1.01,4.65,7,61,Primary Complete,Cowpea,Monthly,Fair,7,0,0.0,False,567,Male,False,False,True,False,False,7
855,34.25,10.6,39.5,22.4,23.9,394667.0,1048000.0,2.0,2.62,7,23,Primary Incomplete,Maize,Never,Good,1,100,0.0,True,620,Male,False,False,False,True,False,3
1109,38.58,60.0,57.9,26.2,19.2,102250.0,244000.0,1.3,0.47,3,19,Primary Complete,Cowpea,Weekly,Very Good,1,95,0.0,True,681,Male,False,False,True,True,False,4
4793,19.28,28.9,99.1,28.9,20.9,408929.0,5725000.0,23.61,0.97,6,22,Secondary Incomplete,Tomato,Monthly,Fair,6,0,0.0,False,581,Male,False,False,True,False,False,14
467,41.99,16.2,14.3,22.0,26.3,132500.0,795000.0,0.66,0.8,16,32,Primary Complete,Cocoa,Never,Fair,1,88,0.0,False,576,Female,False,False,False,True,False,6
3376,40.46,50.0,124.3,31.3,32.3,87000.0,331000.0,10.23,0.27,11,46,No Formal Education,Cassava,Monthly,Fair,1,97,0.77,True,592,Male,False,False,True,True,True,5
1104,44.71,55.7,80.6,28.5,30.9,271500.0,2497000.0,19.27,1.08,15,37,Secondary Complete,Cassava,Never,Excellent,1,67,0.0,True,718,Male,True,True,True,True,False,10
1062,26.2,39.3,62.2,28.3,10.5,117000.0,819000.0,3.29,0.71,3,49,No Formal Education,Rice,Never,Poor,1,0,0.0,False,496,Female,False,False,False,False,False,7
3738,33.73,61.2,125.1,21.0,22.6,189778.0,1708000.0,0.93,4.59,4,20,Secondary Complete,Beans,Daily,Fair,4,89,0.0,False,611,Male,False,False,True,True,False,9
217,35.88,41.3,133.7,7.9,21.3,18500.0,148000.0,1.67,0.47,2,18,Secondary Complete,Guinea Corn,Never,Fair,1,0,0.68,False,567,Male,False,False,False,False,True,8
5192,44.66,64.2,133.5,26.1,22.5,141500.0,566000.0,5.24,0.54,9,50,HND/BSc,Maize,Monthly,Very Good,5,0,0.0,False,661,Male,False,False,True,False,False,4
679,8.69,6.6,87.3,6.9,17.6,7800.0,78000.0,1.25,0.33,6,22,No Formal Education,Guinea Corn,Rarely,Fair,4,98,0.0,False,570,Male,False,False,True,True,False,10
5961,36.75,50.2,73.4,29.1,37.0,180900.0,1735000.0,12.8,1.13,27,43,No Formal Education,Cassava,Weekly,Very Good,10,61,0.0,True,673,Male,False,False,True,True,False,10
5544,43.13,16.4,94.9,31.4,10.6,24100.0,241000.0,3.13,0.22,19,54,Secondary Incomplete,Rice,Weekly,Fair,3,0,0.0,False,579,Female,False,False,True,False,False,10
4981,22.37,59.9,126.6,20.0,25.6,64000.0,192000.0,2.99,0.32,35,51,Secondary Complete,Maize,Monthly,Very Good,5,62,0.0,False,685,Female,False,False,True,True,False,3
437,8.2,29.1,13.9,27.5,24.9,1166556.0,10400000.0,17.05,2.44,6,40,No Formal Education,Tomato,Weekly,Fair,1,0,0.0,True,566,Male,False,False,True,False,False,9
371,9.35,38.4,31.4,22.7,19.7,23364.0,184000.0,0.95,0.48,4,20,Primary Incomplete,Cowpea,Never,Fair,1,0,0.0,True,609,Female,False,False,False,False,False,11
4521,9.09,38.3,99.1,26.8,8.2,598800.0,5918000.0,4.25,3.98,10,44,Primary Incomplete,Rice,Rarely,Good,6,97,0.0,True,622,Male,False,False,True,True,False,10
609,7.91,24.0,73.8,25.6,35.3,151333.0,684000.0,18.4,0.31,11,50,Secondary Incomplete,Cassava,Weekly,Excellent,7,98,0.0,True,726,Male,False,False,True,True,False,6
101,20.38,46.6,131.5,27.3,23.3,99900.0,999000.0,18.14,0.25,11,27,Primary Complete,Plantain,Never,Poor,1,0,0.0,False,530,Male,False,False,False,False,False,10
803,39.65,42.8,106.1,32.9,30.3,62000.0,682000.0,15.77,0.36,26,63,Primary Incomplete,Cassava,Never,Fair,1,93,0.0,False,573,Male,False,False,False,True,False,11
3736,25.86,49.0,64.7,27.9,19.5,14308.0,186000.0,2.32,0.4,15,51,Primary Complete,Maize,Rarely,Fair,7,0,0.0,False,597,Male,True,False,True,False,False,13
749,36.69,8.7,21.6,37.5,7.2,917000.0,2565000.0,1.4,4.07,3,19,Secondary Complete,Groundnut,Never,Poor,1,0,0.7,True,545,Male,False,False,False,False,True,3
1673,20.43,9.3,61.1,26.3,25.2,66500.0,266000.0,2.6,0.51,4,20,No Formal Education,Maize,Rarely,Good,4,64,0.82,False,621,Female,False,False,True,True,True,4
2061,10.7,66.9,137.3,16.8,30.1,1709250.0,6726000.0,8.8,2.73,12,50,Primary Complete,Yam,Monthly,Very Good,10,96,0.0,True,689,Male,False,False,True,True,False,4
872,16.59,66.2,82.7,23.5,28.5,423200.0,2116000.0,0.96,5.51,19,35,Primary Complete,Cowpea,Weekly,Good,9,0,0.69,False,623,Male,False,False,True,False,True,5
1635,41.97,33.7,101.5,20.9,27.2,567308.0,7375000.0,10.58,2.49,2,18,Primary Complete,Yam,Weekly,Poor,3,72,0.66,False,545,Male,False,False,True,True,True,13
2007,41.53,48.0,62.9,26.6,29.8,51800.0,210000.0,0.67,0.21,11,54,No Formal Education,Cocoa,Weekly,Very Good,2,95,0.6,True,668,Female,False,False,True,True,True,5
